category,filename,tv_symbol,name,listing
sme,EEPL,NSE:EEPL,Eppeltone Engineers Limited,24-Jun-25
sme,PATILAUTOM,NSE:PATILAUTOM,Patil Automation Limited,23-Jun-25
sme,SAMAY,NSE:SAMAY,Samay Project Services Limited,23-Jun-25
sme,MONOLITH,NSE:MONOLITH,Monolithisch India Limited,19-Jun-25
sme,JAINIK,NSE:JAINIK,Jainik Power Cables Limited,17-Jun-25
sme,SACHEEROME,NSE:SACHEEROME,Sacheerome Limited,16-Jun-25
sme,GANGABATH,NSE:GANGABATH,Ganga Bath Fittings Limited,11-Jun-25
sme,NRVANDANA,NSE:NRVANDANA,N R Vandana Tex Industries Limited,04-Jun-25
sme,NEPTUNE,NSE:NEPTUNE,Neptune Petrochemicals Limited,04-Jun-25
sme,NIKITA,NSE:NIKITA,NIKITA GREENTECH RECYCLING LIMITED,03-Jun-25
sme,BLUEWATER,NSE:BLUEWATER,Blue Water Logistics Limited,03-Jun-25
sme,DCCL,NSE:DCCL,Dar Credit & Capital Limited,28-May-25
sme,ACCPL,NSE:ACCPL,Accretion Pharmaceuticals Limited,21-May-25
sme,INTEGRITY,NSE:INTEGRITY,Integrity Infrabuild Developers Limited,20-May-25
sme,VGINFOTECH,NSE:VGINFOTECH,Virtual Galaxy Infotech Limited,19-May-25
sme,ARUNAYA,NSE:ARUNAYA,Arunaya Organics Limited,07-May-25
sme,IWARE,NSE:IWARE,Iware Supplychain Services Limited,06-May-25
sme,TANKUP,NSE:TANKUP,Tankup Engineers Limited,30-Apr-25
sme,ATCENERGY,NSE:ATCENERGY,ATC Energies System Limited,02-Apr-25
sme,SHRIAHIMSA,NSE:SHRIAHIMSA,Shri Ahimsa Naturals Limited,02-Apr-25
sme,RAPIDFLEET,NSE:RAPIDFLEET,Rapid Fleet Management Services Limited,28-Mar-25
sme,ACTIVEINFR,NSE:ACTIVEINFR,Active Infrastructures Limited,28-Mar-25
sme,GCHOTELS,NSE:GCHOTELS,Grand Continent Hotels Limited,27-Mar-25
sme,DIVINEHIRA,NSE:DIVINEHIRA,Divine Hira Jewellers Limited,24-Mar-25
sme,BALAJIPHOS,NSE:BALAJIPHOS,Balaji Phosphates Limited,07-Mar-25
sme,HPTL,NSE:HPTL,HP Telecom India Limited,28-Feb-25
sme,TEJASCARGO,NSE:TEJASCARGO,Tejas Cargo India Limited,24-Feb-25
sme,ROYALARC,NSE:ROYALARC,Royal Arc Electrodes Limited,24-Feb-25
sme,PSRAJ,NSE:PSRAJ,P S Raj Steels Limited,19-Feb-25
sme,VOLERCAR,NSE:VOLERCAR,Voler Car Limited,19-Feb-25
sme,MAXVOLT,NSE:MAXVOLT,Maxvolt Energy Industries Limited,19-Feb-25
sme,CHANDAN,NSE:CHANDAN,Chandan Healthcare Limited,17-Feb-25
sme,ELGNZ,NSE:ELGNZ,Eleganz Interiors Limited,14-Feb-25
sme,READYMIX,NSE:READYMIX,Readymix Construction Machinery Limited,13-Feb-25
sme,KEN,NSE:KEN,Ken Enterprises Limited,12-Feb-25
sme,CHAMUNDA,NSE:CHAMUNDA,Chamunda Electrical Limited,11-Feb-25
sme,REXPRO,NSE:REXPRO,Rexpro Enterprises Limited,29-Jan-25
sme,EMAPARTNER,NSE:EMAPARTNER,EMA Partners India Limited,24-Jan-25
sme,KKJEWELS,NSE:KKJEWELS,Kabra Jewels Limited,22-Jan-25
sme,BARFLEX,NSE:BARFLEX,Barflex Polyfilms Limited,20-Jan-25
sme,SATKARTAR,NSE:SATKARTAR,Sat Kartar Life Limited,17-Jan-25
sme,DELTIC,NSE:DELTIC,Delta Autocorp Limited,14-Jan-25
sme,ANYA,NSE:ANYA,Anya Polytech & Fertilizers Limited,02-Jan-25
